ALABAMA	Birmingham	Very affordable, no traffic, easy parking, lots of green space, great food with some nationally-acclaimed restaurants (and can afford to go on resident's salary). Hiking within 15min of the hospital and tons more options within an hour's drive. Small town friendliness with mid-sized city amenities. < Many larger cities within easy driving distance (Atlanta, New Orleans, Nashville) and beaches in S Alabama/FL panhandle	Church and college football can play an oversized role in city life. Still can feel very segregated. Local and state politics filled with corruption. High monthly water bills due to aforementioned corruption. The worest roads of any city, seriously had a tire bust from going 40 and hitting a pot hole.	They're trying to improve it, but not great. Definitely need a car+2	Hot and humid summers. Mild winters. Snow is rare. Tornadoes are a thing.	Most people are married by 25 and arent interested in dating anyone more distant than a fourth cousin. Pretty religious down here. << this is absurd. people in birmingham aren't incestuous. It feels like there's someone here with a thing against bham	Not great; improving though+1	meh<< Very diverse in the city, less so in rural areas <<sure its better than other parts of alabama...but no way in hell would i call it "very diverse" << do you actually live in Birmingham proper??	its weird because there are less people in birmingham I feel unsafe around compared to other cities...but for the people feel unsafe around..I feel 100x less safe around them compared to your typical urban bozo. These people are legit crazy. Will follow you relentlessly or point a gun/knife at you. Fucking terrifying. Not just birmingham but Alabama as a whole << I have lived here 20 years, never had a single person follow me with a gun/knife, however Birmingham is consistently listed as one of the most murderous cities in the country
ALABAMA	Huntsville	Similar pros as Birmingham but with a bit less to do. Actually has a lot of people from different areas of the country, likely due to the big military contracting and NASA presence	Areas immediately surrounding Huntsville are some of the most conservative areas in the entire state. Less racial diversity than Birmingham		Same as Birmingham, maybe a little colder in the winter	great city if you're trying to cheat on your spouse, or shag someone else's spouse. Huntsville, Ala. was ranked the 11th most unfaithful city in the country			Very safe
ALABAMA	Mobile	COL	Hurricanes +1						
ARIZONA	Phoenix	Affordable housing, good mix of food options, easy parking, traffic is minimal, lots of outdoor activities, easy to drive to Flagstaff which is a true beauty and has skiing/snowboarding in the winter.	Hot as balls	Not great, will definitely need a car. Things are fairly spread apart. But if you live close to the light rail, this can be a decent way to get around. << I thought the RAIL is infamously sketchier than LRs in other big cities	Hot summers >120 F. Chilly in the winters, but not cold. Snow if you go to Northern AZ. <<over 120 is pretty rare (happened once for me living there for 4years), though 108-115F was not.	Good dating scene. << Questionable - depends on what you're looking for<<elaborate	Not bad, not great.	Certain areas are not terribly diverse, but more diversity in East Valley (Tempe, Mesa, Gilbert, Chandler). << Personally found much more diversity in Central Phoenix area, which has been changing a lot over the past 5 years or so. Lots of little gay bars, great options for food with every kind of cuisine from family run restruants. Gentrification is becoming a problem, but the communities west of central used to be full of Spanish speaking and immigrant/first gen families.	
ARIZONA	Scottsdale	Good brunch options, close to both downtown Phoenix and the East Valley.Old Town area is nice, decent dash of culture.	More expensive area in regards to food and housing. North Scottsdale is nothing but big shopping areas and chain restraunts.	Will need a car.	Summers are hot.	Good.	Middle of the road.		
ARIZONA	Tucson	Very Affordable CoL. Cooler than the Phoenix Metro area during summers and the city cools off at night. Tucson gets a short monsoon season of about 1month mid summer with thunderstorms, but otherwise is very sunny. Very mild winters. The university-based IM program is older and more established in the match, though Phoenix has been catching up. // Coming from a larger city, I didn't like Tucson at first but honestly it's grown on me. There a lot of fun things to do, relatively good food, and you can be active outdoors year-round (though you should stick to the twilight hours in the summer). Mount Lemmon is ~30min from the city and is hightly accessable with hiking, camping, or world-class rock climbing (plus a 20-30degF temperature drop when you want to cool down). Tons of scenic hikes and national park just a few hour's drive, or drive a few hours down to the beach in Mexico!	With the exception of a few nicer areas (ex. Catalina Foothills), the public schools are not good. In my opinion, the city looks rather worn down. Summers are pretty hot // I absolutely hate driving here, it's a mix of erratic college kids and retirees on the roads, and lots of pedestrians crossing busy streets making traffic dangerous. There are light ordinances in the city keeping it very very dark at night. Poor highway access so it takes forever to get anywhere.	Will need a car // I have a few friends who live by bicycle/streetcar/Lyft but it is definitely not convenient // I lived here for 8 years without a car and it was definitely doable but not convenient	Hot summers (110's, it's a dry heat), mild winters (60-70's and sunny)	Mostly medical community (MSers, residents, fellows, RNs, etc) and undergrads, IMO // Lots of military due to the AFB, engineers at Raytheon	B	Tucson has a fairly even mix between Hispanic and non-Hispanic white (2020 census), but not much representation from other races // Large, unique indigenous population and a hub for asylees. You will interact with ICE in the UofA hospital.	Mostly petty theft - I've had my bike or bike parts stolen multiple times despite getting creative with locks. The University now has better bike lockers though.
ARKANSAS	Jonesboro	???	67% republican	???			fuk no	kinda racist	
ARKANSAS	Little Rock	Low cost of living, not much traffic, no public transportation (need a car), easy access to hiking. The city is somewhat diverse, but not so much as you go towrads to the suburbs	Not a very exciting night life scene, restaurant scene is improving but certain cuisines are still underrepresented here.	not reliable, car city. Low traffic though.	All 4 seasons, mild winter with ~1 snow day/year	hahahaha		White majority although not by much (45%) compared to African American (41%). Latino and Asian populations growing although still clear minority. Everyone's v nice tho, never experienced racial discrimination here. Little Rock is one of the few left-leaning cities in Arkansas	
CALIFORNIA	Fresno	Most of the state is within 1-5 hours of driving distance. Yosemite is a short drive away. <<<how far is it from the beach?	In the middle of Central Valley. It gets very hot. We'd get random sand storms too. Rent is also steadily increasing due to it's proximity to the bay area. Far away from both LA and Bay Area, absolutely nothing to do in Fresno itself.	Car	Very arid, hot summers. Also poor air quality especially during wildfires. <- so basically grass is green lol		Somewhat tolerant. Clovis (northeast & suburban) as well as surrounding cities (Madera, Visalia, Hanford, ect) are quite conservative.	not bad	
CALIFORNIA	Loma Linda	Cheaper than LA, friendly community, small town vibes, close to nature stuff	Not LA, in Inland Empire	Non-existent	>110 F summers, you get three seasons +/- winter	Try looking else where	LGBTQ scene is small	Heavily Hispanic/Spanish-speaking population, Med Center has a diverse staff	
CALIFORNIA	Los Angeles	West La (Santa Monica, Westwood, Brentwood, Beverly Hills where UCLA and Cedars Sinai are located are completely different than places like USC. I have lived in the Bay, OC, and Westwood/Brentwood and Westwood is easily the best place I have ever lived. Some homeless but they haven't taken over and it feels very safe to walk out late at night. Infinite night time activities and an amazing food scene. The Hailey Bieber smoothie is goated, dont care if it costs $20->It's LA    can someone speak to USC locations << Blocks directly around USC is fine, but 3-4 blocks further is dangerous. Rent is sky-high.	Traffic, air quality, getting crowded, everything is very spread out - have to drive a lot to get to things >It's LA  Rent on the cheaper end can be around ~$2k (or slightly less) but you sacrifice having some appliances for more space or vice versa (in west LA area)  Homelessness is unfortunately prevalent	Not great but exists >> it's LA	Can get really hot, summer almost all year, dry<< you can just go to the beach>> Does not apply to UCLA, weather is best in the US IMO. Rarely gets above ninety and is in the 60s-80s for most of the year with tons of sunshine. Never had AC when I lived there for undergrad and only uncomfortable 1-2 weeks of the year << agree with amazing weather at UCLA, though perhaps not as good as San Diego or Hawaii. LA weather can vary quite a bit depending where you live, can get really hot as you go more inland >>It's LA	Lots of wannabe models and actors/actresses  People wanna be young forever, so no one dates seriously until their mid-30s. On the apps, lots of people but everyone is straight up and says they want something casual. All interactions have felt pretty superficial +1 >>> It's LA >> Cap. Massive dating pool and plenty of people looking for serious relationships	It's LA	It's LA	It's LA. Nobody's going to kill you, probably won't get mugged but there's a huge homeless population
