Brookwood Baptist				
East Alabama Med Ctr				
HES/Crestwood				
North Alabama Med Ctr				
Southeast Health				
Thomas Hospital				
U of Alabama Huntsville				
U Alabama Birmingham (UAB)	Addiction (1) - Yale   Cards (6) - USF Tampa, (4) UAB, UMKC   GI (4) - University of South Carolina-Greenville, UAB, University of New Mexico, University of Mississippi   H/O (6) - (2) Yale, (2) UAB, University of Kansas, Duke   ID (2) - UAB, UTSW   PCCM (3) - (2) UAB, UCSD   Rheum (2) - UTSW, Columbia	Cards (5) - Emory, UAB x2, U Kentucky, Yale   GI (8) - UAB x3, MUSC, Nebraska, UTMB, Prisma Greenville, U South Alabama   H/O (3) - UAB, MD Anderson, MCG   PCCM (2) - UAB x2   Rheum (2) - MGH, UAB   Endo (1) - UAB   ID (3) - UAB x3   Neph (1) - UAB   Palliative (1) - Pitt	Cards (6) - Emory, UAB x3, Texas Tech, UT Memphis   GI (6) - Baylor, UAB x2, MUSC, UF, Oschner   H/O (3) - UAB x3   PCCM (3) - U Chicago, UAB, Vanderbilt    Rheum (3) - Duke, UAB, UT Houston    ID (2) - UAB x2   Neph (1) - UAB   Geri/Pall (1) - MGH	
U Alabama Montgomery				
U South Alabama (USA)				
U Washington Alaska Rural				
Abrazo Health		Endo: UC Davis   Pulm: Rutgers   Palliative Care: Baylor   ID: Mt. Sinai	GI (1)   Endo (1)   ID (1)	
Creighton U Phoenix				
Dignity Health East Valley				
HonorHealth				
Mayo AZ	Cards (3) - Mayo AZ x2, Honor Health  GI (2) - Mayo AZ x2  Endo (1) - Mayo AZ  Pulm/Crit (2) - Mayo Rochester, Duke  Heme/Onc (1) - Mayo AZ  Rheum (1) - Mayo FL    https://twitter.com/MayoAZ_IMRES/status/1730644417831149612	Cards (1): Scripps  ID (1): Mass Gen  Neph (1): Columbia   GI (1): Mayo AZ  Heme/Onc (6): Mayo Rochester, U Colorado, Georgetown, U Minnesota, U Illinois, U North Dakota	Cards (3): Mayo Arizona x3  GI: Mayo Arizona  Rheum: Mayo Arizona  ID: UTSW	https://www.instagram.com/p/CJIJ1OSB2Up/?utm_source=ig_web_copy_link
Midwestern U Canyon Vista				
Midwestern U Mountain Vista				
Midwestern U Verde Valley	PCCM x 1 (MSU) Geriatrics x1 (Yale) Heme onc x 1 (St Luke)	Geriatrics x 1 (UPenn) Nephrology x 1 (USC)		
Health Education Services/Northwest Healthcare (Tucson) Program NEW				
U Arizona Phoenix	A/I (1): UC-Davis  Addiction Med (1): Minnesota  GI (3): Arizona-Phoenix x2, Minnesota  Heme/Onc (2): Arizona-Tucson x2  Hospice/Palliative (3): Creighton-Phoenix, Wisconsin, Arizona-Phoneix  Pulm/Crit (2): OHSU, Mt Sinai-Morningside  Sleep Med (2): Stanford, Arizona-Phoenix    https://www.instagram.com/p/C0R-Vy2v7IQ/			https://twitter.com/UAPhxIM/status/1334973181694623744?s=20
U Arizona Tucson		South + Main Campus combined  PCCM (4): U Arizona Tuscon, USC, Baylor, UT San Antonio  Heme/Onc (3): U Arizona Tuscon, UC Davis, St. Jospeh Mercy Ann Arbor  Cards (3): U Arizona x2, UT Houston  Nephro (3): UCSD x2, UC Davis  GI (2): U South Florida, U Kansas  Rheum (1): UC Irvine  ID (1): UC Davis  Palliative (1): Dartmouth  Geriatrics (1):U Washington	Main campus & South campus are combining: Main campus match: https://deptmedicine.arizona.edu/education/residency-programs/internal-medicine-residency-tucson-campus/fellowships-fellowship-1 South campus match: https://twitter.com/UAZSouthIMRes/status/1466450138516246529?s=20&t=NLg7l1uSvNdN0g4Rq4BVaA	3
Tucson Hospitals				
Arkansas COM Mercy				
Baptist Health UAMS				
Baptist Jonesboro				
CHI St. Vincent				
Conway				
St. Bernards Med Ctr	3 matched pulm/cc (Univ Nebreska, East Carolina Uni, UGA); 1 endo (oshner health); 1 cardio (mayo fl); 1 ID (UTMB) 1 Palliative (UT Tyler)			
Unity White County				
UAMS				
UAMS Northwest (Fayetteville)				
White River				
Adventist Health White Memorial				
Alameda Highland	https://www.highlandmedicine.org/alumni			
Arrowhead	Cards (2): Arrowhead x2  Pulm/Crit (2): Arrowhead, Loma Linda  Neph (1): Loma Linda  ID (1): UCLA			
California Pacific	https://www.suttermd.com/education/residency/cpmc-internal-medicine/alumni			
Cedars-Sinai	Cards (6): Corewell Health, Harbor-UCLA, Northwell/LIJ, Rush, Scripps, Vanderbilt  GI (4): Cedars-Sinai, Arizona, UTSW, NYP-Queens  ID (1): UCLA  Pulm/Crit (1): Cedars-Sinai  Rheum (1): Loma Linda  Sleep Medicine (1): UCLA	Rheum (1): Cedars  Cardiology (5): Duke, Vanderbilt, UC Davis, UCLA harbor, UC riverside  GI (3): Cedars, UMich, UCLA   Heme/Onc (2): UW, USC  ID (1): UCLA  Pulm/CC (1): Cedars  Geri (4): UCLA x4		
Charles R. Drew U				
College Med Ctr				
Community Memorial				
Desert Valley				
Eisenhower				
HCA Riverside				
HCA Los Robles				
Harbor UCLA	Cards (6): Harbor-UCLA x4, UC Davis, Abrazo Health  Geriatrics (2): UCLA x2  GI (2): UNLV, CPMC  Heme/Onc (1): Olive View-UCLA  ID (1): U of Colorado	Cards (3): Harbor-UCLA x2, Buffalo  Heme/Onc (3): Harbor-UCLA, USC, UCI  Pulm/CC (3): Harbor-UCLA, Cedars-Sinai, UCI	?	
Huntington Memorial				
Kaiser Inland Empire				
Kaiser Los Angeles				
Kaiser Oakland	Addiction: Kaiser East Bay  Cards (2): UC Davis, Samaritan-Oregon  Critical Care: UT Houston  Endo: UCSF  ID: Stanford  Onc: Kaiser NorCal  Palliative (2): UCSD, Mount Sinai  Pulm/Crit: UC Davis, U Rochester  Rheum: Cedars-Sinai		Heme/Onc (2): Miami, Harbor-UCLA  Nephro (3): UCSF x2, UCLA  Geriatrics (1): UCLA	
Kaiser San Francisco	Addiction Med (1): UCSF  Endo (1): CPMC  ID (1): USC  Heme/Onc (1): Kaiser-SF	A/I: UCSF  Endocrine: CPMC  Nephro: UCSD  Geri/Palliative: UCSF	Cards: Kaiser SF  GI: Kaiser SF  Pulm/crit: CPMC, UC Davis  ID: UCSF  Addiction: Rush	Cards (1): Mayo Arizona. Endo (1): UCSF. ID (1) UCLA
Kaiser Santa Clara		Cardiology: Honor Health, Kaiser SF  ID: USC  Palliative: NIH	Endo (1): UC Davis  ID (2): UC Irvine, USC  Pulm/Crit (2): UT Houston, Yale  Geri (1): UCSF	
Kern				
KPC Health				
Loma Linda U	Cards (3): Loma Linda x2, SW Healthcare MedEd Consortium Temecula  GI (2): Loma Linda, SW Healthcare MedEd Consortium Temecula  Pulm/Crit (1): Cedars-Sinai  Crit Care (1): Loma Linda  Neph (1): UCSF  Heme/Onc (3): UCI, Scripps, UCSD  Endo (2): Harbor-UCLA, Vanderbilt  A/I (1): BWH		Nephrology: Vanderbilt University, Uni Colorado SOM, Loma Linda  Rheum: USC, Loma Linda  Pulm/cc: USC, Loma Linda  ID: UCD, U of Alabama  Cards (3): Loma Linda, Wayne State  Heme/onc: Kaiser SF	??
Loma Linda U Murrieta				
Martin Luther King Jr.				
Naval Med Ctr (San Diego)				
North East Medical Services				
Olive View UCLA	Cards (5): UCLA, UC-Davis, Creighton Phoenix, HCA Riverside, Riverside Community  Endo (1): UCLA  Heme/Onc (2): Harbor-UCLA, Loma Linda  Pulm/Crit (1): USC		https://www.instagram.com/p/CXAb3Fxl3v0/	anyone??<-- Clearly the chiefs there care more about posting stupid hangouts and non-important stuff on their instagram page instead of important things like the fellowship match list.
Prime West/Centinela				
Prime West Consortium NEW				
Prime West/West Anaheim				
Riverside U Health System				
San Joaquin				
San Ysidro				
Santa Barbara Cottage				
Santa Clara Valley				
Scripps Green		heme onc: Columbia University, olive-view UCLA; allergy/immun: university of buffalo; rheumatology: Scripps Green		
Scripps Mercy	Cards (2): UC Riverside, UCI  GI (1): Valley HMC  Heme/Onc (1): Scripps Green  Nephrology (1): UCI  Pulm/Crit (2): OHSU, UCSD			
Sierra View				
St. Agnes Fresno	Endo- Emory, Nephro, Sleep Medicne- UCSF			
St. Joseph's Med Ctr				
St. Mary Med Ctr (LB)				
St. Mary's Hospital and Med Ctr (SF)				
Stanford	Cards (9): Stanford (2), Duke, Emory, Hopkins, Northwestern, UChicago, UTSW, UW   GI (3): Stanford (2), Colorado  Heme/Onc (6): Stanford (3), Columbia, MSK, UT Austin  PCCM (2): BWH, Stanford  Nephrology: BWH  Rheum: UChicago	Cards (5): JHH, Stanford x 4  GI (2): BWH, Stanford  Heme/Onc (10): BIDMC x 2, DFCI, MSK, Stanford x 6  ID (5): Stanford x 5  Neph (1): Stanford  Pall Care (1): Stanford  Rheum (1): NIH		Allergy (1): Stanford Cardiology (4): UCLA, UChicago, UMich, Stanford Endocrinology (1): UCLA Geriatrics (1): UCSF GI (3): Stanford (2), OHSU ID (1): Stanford Heme/Onc (3): Stanford (3) Pulm/Crit (2): Stanford (2) Rheumatology (1): BWH https://medicine.stanford.edu/news/current-news/standard-news/2020-fellowship-match.html
Sutter				
UC Davis	Cards (4) - UC Davis, UCSF, CPMC, Honor Health  Heme/Onc (3) - UC Davis x2, UCSF  GI (3) - UC Davis, CPMC x2  Pulm/Crit (3) - UC Davis x2, Minnesota  Geriatrics (1) - Yale	https://health.ucdavis.edu/internalmedicine/education_programs/fellowship_placements.html	https://health.ucdavis.edu/internalmedicine/education_programs/fellowship_placements.html	Cardiology (5): UCSF-Fresno x 2, UCSF (Cardiac EP), Scripps San Diego, OHSU, UC Davis   Gastroenterology (2): OHSU, USC   PCCM (3): BWH, OHSU, Cornell Heme/Onc (3): UC Davis, City of Hope, Air Force   Endocrinology (1): UW Rheumatology (1): UW   Infectious Disease (1): UCSF   Hospice/Palliative (3): MGH, Kaiser LA, UC Davis   Addiction Medicine (1): OHSU
UC Irvine	A/I (2) - UC Irvine, Scripps  Cards (5) - UC Irvine x3, Los Robles, Ascension-St Thomas  GI (3) - UC Irvine, MCW, UC Davis  Endo (1) - UC Irvine  Heme/Onc (2) - UCSD, USC  Neph (1) - Stanford  Pulm/Crit (2) - UC Irvine, Cedars-Sinai	A/I (1): UCI  Cards (4): UCI x2, Kaiser LA, Loma Linda  GI (1): UCI  Heme/Onc (4): UCI x2, Scripps Green, Harbor UCLA  Nephro (1): UCLA  Rheum (2): UCI, UCLA	Rheum: UCI, UCLA  Allergy: UCI  Nephro: Stanford  Endo: USF  Heme/Onc: Montefiore  Cards: UC Davis, UCI  GI: UCI	Cards: UCI x3, University of Hwaii  Endo: UCLA  GI: Cooper, University of Pittsburgh  Geriatrics: UCLA  Heme/Onc: Allegheny Health  Immunology/Allergy: UCI  Nephrology: UCSD  Palliative: UCI  Pulm/CC: Kaiser Oak  Rheumatology: UCI
UCLA	Cards (6): UCLA x3, UCSD x2, Cedars  GI (6): UCLA x4, UCI x2  Heme/Onc (6): UCLAx4, UC Davis, Olive View  Pulm/Crit (4): UCLA x3, USC  ID (3): UCLA, MGH, Stanford  Rheum (2): UCLA, UPenn  Palliative (2): UCLA x2  Endo (1): UCLA  Geriatrics (1): UCLA  Geri/Palliative Care (1): UCLA  Addiction Med (1): MGH	Cards (14): UCLA x4, Colorado, Stanford x2, Kaiser LA, UCSF, Cleveland Clinic, USC, Cedars x2, UWash  GI (9): UCLA x5, UCI, Colorado, Baylor, Maryland  Heme/onc (9): UCLA x5, WashU, Olive View, Stanford, City of Hope  Pulm/Crit (7): UCLA x4, Stanford, Cedars, BWH   Rheum (1): UCLA  Hospice/Palliative (2): UCLA x2  National Clinician Scholars Program (3): UCSF, UCLA x2	https://twitter.com/uclaimchiefs/status/1466530414109937668  Cards: UCLAx2, Kaiser LA, UCSD x2, UC Davis, UC Riverside, Stanford x2, Georgetown  GI: UCLA x2, UCSF, Mt Sinai   Pulm/crit: UCLA x2, Cedars, UCSD  Heme/onc: UCLA x3, City of Hope, Hopkins, Penn, Ohio State   Endo: UCLA  Palliative: UCLA x3, NYU, Mt Sinai  Geriatrics: UCLA x3  Geri/pall: UCLA  Other: CDC, East-West	ID (2): Mt Sinai, UCLA  Allergy/immuno (1): UCLA  Endo (1): UCLA  GI (12): UCLAx4, UTSW x2, Cedars, USC, Davis, UCSF, UW, Stanford  Cards (11): UCLAx4, Cedars, Haborx2, CPMC, Stanford, Mayo, Irvine  Heme/onc (3): MD Anderson, UCLA, NIH/NCI  PCC (7): Columbia, Cedars, UCLAx3, Colorado, Duke  Rheum (1): UCLA  Palliative (2): Mt. Sinai, UCLA
