Academic in T100	Academic upper	Academic upper mid	Academic mid	Academic low mid	Academic low	Community upper	Community mid	Community low
1265140C0	1516140C0	1022140C0	1429140C0	1080140C0	1971140C0	3172140C0	1081140C0	1484140C0
1261140C0	1426140C0	1105140C0	1822140C0	1608140C0	1615140C0	1127140C0	1251140C0	1510140C0
1242140C0	1608140C0	1683140C0	1826140C1	1649140C0	1620140C0	3130140C0	1509140C0	1247140C0
1529140C0	1224140C0	1681140C0	1826140C0	1968140C4	2173140C0	1632140C0	1189140C0	2138140C0
1628140C0	1221140C0	1101140C0	1491140C0	1383140C0	1089140C2	1601140C0	1308140C0	1485140C0
1328140C0	1232140C0	1605140C0	1489140C0	1093140C0	1082140C0	1600140C0	1915140C0	1977140C0
1353140C0	2157140C0	3199140C0	3067140C0	3053140C0	2395140C0	1102140C0	1361140C0	1481140C0
1702140C0	1414140C0	2973140C0	1286140C0	3053140C1	1099140C0	1135140C0	1168140C0	2121140C0
1089140C0	1032140C0	1710140C0	1175140C0	2922140C0	2317140M0	2117140C2	1405140C0	1805140C0
1256140C0	1631140C0	1586140C0	1244140C0	1978140C1	1384140C0	2117140C1	1269140C0	1139140C0
1490140C0	1844140C0	1748140C0	2193140C0	2009140C0	2326140C0	1787140C0	1266140C0	1281140C0
1652700C0	1699140C0	1079140C0	2077140C0	1584140C0	1121140C0	1330140C0	1292140C0	1547140C0
1956140C0	1839140C0	1515140C0	1307140C0	3211140C0	1320140C0		1995140C0	1857140C0
1076140C0	1725140C0	2099140C0	1314140C0	2918140C0	1542140C0		1226140C0	1442140C0
1113140C0	1483140C0	2984140C0	3066140C0	1579140C0	1585140C0		1943140C0	1478140C0
1968140C0	2070140C0	1160140C2	1827140C1	2993140C0	1541140C0		3056140M0	1445140C0
1552140C0	1639140C0	1966140C0	1827140C0	1852140C0	1392140C0		1756140C0	1489140C0
2947140C0	1800140C0	2805140C0	2066140C0		1397140C0		1394140C0	1551140C0
1599140C0	1315140C0	1539140C0	1187140C2		1390140C0		1408140C0	1616140C0
1779140C0	1380140C0	1837140C0	3153140C3		2391140C0		1290140C0	2290140C0
1257140C0	1387140C0	3200140C0	1837140C2		2128140C0		1041140C0	1678140C0
1630140C0	1455140C0		1902140C0		2011140C0		1428140C0	1780140C0
1801140C0	2980140C0		1689140C0		2276140C0		1241140C0	1812140C0
1252140C0	1527140C0		1395140C0		2727140C0		1329140C0	1258140C0
1646140C0	3057140C0				2270140C0		2279140C3	1044140C0
1334140C0	2017140C0				1825140C0			2206140C0
1537140C0	2028140C0				2169140C0			1921140C0
1732140C0	1588140C0				3124140C0			
1187140C0	2727140C0				1710140C2			
3153140C0	1722140C0				3054140C0			
1511140C0	1714140C0				1009140C0			
2918140C0	1793140C0				2947140C0			
1104700C0					1459140C0			
1824140C0					2176140C0			
1147140C0					1587140C0			
1263140C0					1744140C0			
1376140C0								
3054140C0								
3099140C0								
1848140C0								
1300140C0								
1094140C0								
1784140C0								
1802140C0								
1024140C0								
1343140C0								
1962140C0								
3050140C0								
1237140C0								
1985140C0								
1015140C0								
1011140C0								
1398140C0								
1700140C0								
1553140C0								
1617140C0								
1734140C0								
1067140C0								
2950140C0								
1957140C0								
1372140C0								
2154140C0								
1978140C0								
1167140C0								
1707140C0								
1706140C0								
1295140C0								
1236140C0								
3350140C0								
1150140C1								
2835140C0								
2923140C0								
1743140C0								
1365140C0								
2919140C0								
1582140C0								
3073140C0								
1217140C0								
