Brookwood Baptist	0	0	0	0
East Alabama Med Ctr	THALAMUS	three 20 minute	8-3	ZOOM
HES/Crestwood	THALAMUS	four 20 minutes with faculty, two 20min with faculty	0	THALAMUS
North Alabama Med Ctr	THALAMUS	0	They have 11 - 4 slots & 8-8:30 as well. Confused how different the evening slot is. Any idea?	0
Southeast Health	THALAMUS	two 20 minutes	0	ZOOM
Thomas Hospital	ERAS	one 20 minute	0	ZOOM
U of Alabama Huntsville	IV_BROKER	0	0	ZOOM
U Alabama Birmingham (UAB)	THALAMUS	30 min interview + 10min interview with PD	7-12	0
U Alabama Montgomery	THALAMUS	0	0	0
U South Alabama (USA)	ERAS	two 20 minute with faculty	AM and PM	ZOOM
U Washington Alaska Rural	THALAMUS	one 40 min interview with faculty, one 20 min group interview (rural PD and APD), one 20 min interview with UW PD	8-12:15 AKST	ZOOM
Abrazo Health	0	0	0	0
Creighton U Phoenix	THALAMUS	0	8:30am-12NN MST	ZOOM
Dignity Health East Valley	THALAMUS	0	7:30am-12:00pm MST	0
HonorHealth	THALAMUS	0	0	0
Mayo AZ	THALAMUS	0	11:30am-3:30pm MST	0
Midwestern U Canyon Vista	THALAMUS	0	0	0
Midwestern U Mountain Vista	ERAS	0	0	0
Midwestern U Verde Valley	0	0	0	0
Health Education Services/Northwest Healthcare (Tucson) Program NEW	THALAMUS	0	0	0
U Arizona Phoenix	THALAMUS	10 min PD, 25 min with faculty	6:45 am-12 pm MST	ZOOM
U Arizona Tucson	ERAS	2x 25 minute interviews	8:15 am - 12 pm MST	ZOOM
Tucson Hospitals	THALAMUS	0	0	ZOOM
Arkansas COM Mercy	0	0	0	0
Baptist Health UAMS	0	0	0	0
Baptist Jonesboro	ERAS	0	0	IN_PERSON
CHI St. Vincent	ERAS	0	0	ZOOM
Conway	THALAMUS	0	0	0
St. Bernards Med Ctr	ERAS	3 - 15 minute interviews with PD, faculty, Chief resident	1-3 pm CST	ZOOM
Unity White County	THALAMUS	0	0	0
UAMS	0	0	0	0
UAMS Northwest (Fayetteville)	THALAMUS	0	0	0
White River	0	0	0	0
Adventist Health White Memorial	0	0	0	0
Alameda Highland	THALAMUS	0	10:45-2:30	ZOOM
Arrowhead	0	0	0	0
California Pacific	THALAMUS	0	0	0
Cedars-Sinai	ERAS	0	0	0
Charles R. Drew U	THALAMUS	0	0	0
College Med Ctr	0	0	0	0
Community Memorial	THALAMUS	0	0	0
Desert Valley	0	0	0	0
Eisenhower	THALAMUS	0	0	0
HCA Riverside	THIRD_FRIDAY	0	0	0
HCA Los Robles	ERAS	0	0	IN_PERSON
Harbor UCLA	THALAMUS	0	0	ZOOM
Huntington Memorial	IV_BROKER	0	0	0
Kaiser Inland Empire	THALAMUS	two ~25min interviews	0	0
Kaiser Los Angeles	THALAMUS	one ~1hr with one faculty; two faculty for research track	10:30 am-3:00 pm PST	MICROSOFT_TEAMS
Kaiser Oakland	THALAMUS	0	0	0
Kaiser San Francisco	THALAMUS	two ~25min interviews	AM or PM	0
Kaiser Santa Clara	THALAMUS	~20-30 min each with one faculty and one APD	0	MICROSOFT_TEAMS
Kern	THALAMUS	0	12:30 PM to 5:30 PM	ZOOM
KPC Health	0	0	0	0
Loma Linda U	ERAS	0	0	0
Loma Linda U Murrieta	ERAS	0	0	0
Martin Luther King Jr.	THALAMUS	0	0	0
Naval Med Ctr (San Diego)	0	0	0	0
North East Medical Services	THALAMUS	0	9:00-12 pm or 1pm -4 pm pst weds or thurs	0
