Brookwood Baptist	0	0	0	0	0
East Alabama Med Ctr	0	0	0	0	0
HES/Crestwood	0	0	0	0	0
North Alabama Med Ctr	0	0	0	0	0
Southeast Health	0	0	0	0	0
Thomas Hospital	0	0	0	0	0
U of Alabama Huntsville	0	0	0	0	0
U Alabama Birmingham (UAB)	0	DO_NOT_SEND	0	PD	0
U Alabama Montgomery	0	STRONGLY_DISCOURAGED	0	0	0
U South Alabama (USA)	0	0	0	0	0
U Washington Alaska Rural	0	0	0	0	0
Abrazo Health	0	0	0	0	0
Creighton U Phoenix	Post-interview survey	DISCOURAGED	0	PC	0
Dignity Health East Valley	0	0	0	0	0
HonorHealth	0	0	0	0	0
Mayo AZ	0	0	0	0	0
Midwestern U Canyon Vista	0	0	0	0	0
Midwestern U Mountain Vista	0	0	0	0	0
Midwestern U Verde Valley	0	0	0	0	0
Health Education Services/Northwest Healthcare (Tucson) Program NEW	0	0	0	0	0
U Arizona Phoenix	0	0	0	0	0
U Arizona Tucson	0	0	0	0	0
Tucson Hospitals	0	0	0	0	0
Arkansas COM Mercy	0	0	0	0	0
Baptist Health UAMS	0	0	0	0	0
Baptist Jonesboro	0	0	0	0	0
CHI St. Vincent	0	0	0	0	0
Conway	0	0	0	0	0
St. Bernards Med Ctr	25$ doordash and social event invite	0	0	0	0
Unity White County	0	0	0	0	0
UAMS	Postcard with handwritten message from chief. Printed letter from PD. Coaster and laminated bookmark	0	0	0	0
UAMS Northwest (Fayetteville)	0	0	0	0	0
White River	0	0	0	0	0
Adventist Health White Memorial	0	0	0	0	0
Alameda Highland	0	0	0	0	0
Arrowhead	0	0	0	0	0
California Pacific	0	0	0	0	0
Cedars-Sinai	Will receive generic emails - like their fellowship match results later this year	NOT_EXPECTED	FALSE	SELECTION_COMMITTEE	0
Charles R. Drew U	0	0	0	0	0
College Med Ctr	0	0	0	0	0
Community Memorial	0	0	0	0	0
Desert Valley	0	0	0	0	0
Eisenhower	0	0	0	0	0
HCA Riverside	0	0	0	0	0
HCA Los Robles	0	0	0	0	0
Harbor UCLA	Postcard handwritten by PD	0	0	0	0
Huntington Memorial	0	0	0	0	0
Kaiser Inland Empire	0	0	0	0	0
Kaiser Los Angeles	0	0	0	0	0
Kaiser Oakland	0	0	0	0	0
Kaiser San Francisco	0	0	0	0	0
Kaiser Santa Clara	0	0	0	0	0
Kern	0	0	0	0	0
KPC Health	0	0	0	0	0
Loma Linda U	0	0	0	0	0
Loma Linda U Murrieta	0	0	0	0	0
Martin Luther King Jr.	0	0	0	0	0
Naval Med Ctr (San Diego)	0	0	0	0	0
North East Medical Services	0	0	0	0	0
Olive View UCLA	0	0	0	0	0
Prime West/Centinela	0	0	0	0	0
Prime West Consortium NEW	0	0	0	0	0
Prime West/West Anaheim	0	0	0	0	0
Riverside U Health System	0	DO_NOT_SEND	0	PD	0
San Joaquin	0	0	0	0	0
San Ysidro	0	0	0	0	0
Santa Barbara Cottage	0	0	0	0	0
Santa Clara Valley	0	DO_NOT_SEND	0	PD	0
Scripps Green	0	0	0	0	0
Scripps Mercy	0	0	0	0	0
Sierra View	0	0	0	0	0
St. Agnes Fresno	post-interview thanks with emails of interviewers and residents who were present in the social	0	0	0	0
St. Joseph's Med Ctr	0	0	0	0	0
St. Mary Med Ctr (LB)	0	0	0	0	0
St. Mary's Hospital and Med Ctr (SF)	0	0	0	0	0
Stanford	0	0	0	0	0
Sutter	0	0	0	0	0
UC Davis	0	STRONGLY_DISCOURAGED	0	PD	0
UC Irvine	0	DO_NOT_SEND	0	PD	0
UCLA	Email from current intern that went to my med school to answer any questions + holiday postcard+ letter	NOT_EXPECTED	FALSE	PD	0
