name,code
Family Medicine,3082120C0
Internal Medicine,1903140C0
Medicine-Preliminary,1903140P0
Radiology-Diagnostic,1903420C0
General Surgery,1903440C0
Surgery-Preliminary,1903440P0
Transitional,1903999P0
Family Medicine/Rural,1590120C0
Family Medicine/Urban,1590120C1
Family Medicine/Frontier,1590120C2
Family Medicine/Highlands,1590120C3
Family Medicine,2345120C0
Internal Medicine,2345140C0
Internal Medicine,2265140C0
Orthopaedic Surgery,2233260C0
Family Medicine,2357120C0
Internal Medicine,2239140C0
Internal Medicine,2132140C0
Transitional,2132999P0
Family Medicine,3060120C0
Internal Medicine,2271140C0
Family Medicine,2955120C0
Anesthesiology,1007040C0
Anesthesiology/Research,1007040C1
Dermatology,1007080A0
Dermatology/Rural,1007080A2
Dermatology/Alabama First Track,1007080R0
Emergency Medicine,1007110C0
Internal Medicine,1007140C0
Int Med/ABIM Research Pathway,1007140C2
Neurological Surgery,1007160C0
Neurology,1007180C0
Child Neurology,1007185C0
Obstetrics-Gynecology,1007220C0
Orthopaedic Surgery,1007260C0
Otolaryngology,1007280C0
Pathology,1007300C0
Pediatrics,1007320C0
Phys Medicine & Rehab,1007340C0
Plastic Surgery (Integrated),1007362C0
Psychiatry,1007400C0
Psychiatry/Research,1007400C1
Interventional Radiology (Integ),1007416A0
Radiology-Diagnostic,1007420A0
Radiation Oncology,1007430A0
Radiation Oncology,1007430R0
General Surgery,1007440C0
Gen Surg/Integ 4/3 CT Surgery,1007440C1
Surgery-Preliminary,1007440P2
Vascular Surgery,1007451C0
Medicine-Pediatrics,1007700C0
Pediatrics-Medical Genetics,1007765C0
Medicine-Medical Genetics,1007766C0
Family Medicine,2947120C0
Internal Medicine,2947140C0
Internal Medicine,1009140C0
Medicine-Preliminary,1009140P0
Emergency Medicine,1852110C0
Family Medicine,1852120C0
Internal Medicine,1852140C0
Medicine-Preliminary,1852140P0
Neurology,1852180C0
Obstetrics-Gynecology,1852220C0
Orthopaedic Surgery,1852260C0
Pathology,1852300C0
Pediatrics,1852320C0
Psychiatry,1852400C0
Radiology-Diagnostic,1852420A0
General Surgery,1852440C0
Surgery-Preliminary,1852440P0
Medicine-Pediatrics,1852700C0
Family Medicine,3061120C0
Family Medicine,1313120C0
Emergency Medicine,2002110C0
Family Medicine,2002120C0
Internal Medicine,2002140C0
General Surgery,2002440C0
Transitional,2002999P0
Neurological Surgery,1012160C0
Neurology,1012180C0
Neurology,1012180R0
Emergency Medicine/Phoenix,2154110C0
Family Medicine/Phoenix,2154120C0
Internal Medicine/St Josephs,2154140C0
Med-Prelim/St Josephs,2154140P0
Ob-Gyn/Phoenix Integ,2154220C0
Ob-Gyn/Phoenix Prelim,2154220P0
Psychiatry/Phoenix,2154400C0
Radiology-Diagnostic/St Josephs,2154420A0
General Surgery/Valleywise,2154440C2
Surg-Prelim/Valleywise,2154440P2
Family Medicine,2346120C0
Internal Medicine,2346140C0
Medicine-Preliminary,2346140P0
General Surgery,2346440C0
Surgery-Preliminary,2346440P0
Dermatology,1929080A0
Family Medicine/Osborn,1929120C0
Internal Med/Thompson Peak,1929140C0
Med-Prelim/PM&R,1929140P1
Med-Prelim/Dermatology,1929140P2
Phys Medicine & Rehab,1929340A0
Phys Medicine & Rehab,1929340R0
General Surgery/Lincoln,1929440C0
Family Medicine,2356120C0
Anesthesiology,3200040A0
Anesthesiology,3200040C0
Anesthesiology,3200040R0
Dermatology,3200080C0
Internal Medicine,3200140C0
Medicine-Primary,3200140M0
Neurological Surgery,3200160C0
Neurology,3200180C0
Orthopaedic Surgery,3200260C0
Otolaryngology,3200280C0
Plastic Surgery (Integrated),3200362C0
Radiology-Diagnostic,3200420C0
Radiology-Diagnostic,3200420R0
Radiation Oncology,3200430C0
General Surgery,3200440C0
Surgery-Preliminary,3200440P0
Emergency Medicine/Kingman,2156110C0
Family Medicine/Sierra Vista,2156120C0
