Brookwood Baptist	0
East Alabama Med Ctr	Conversational with PD, "What would you in different situations ..........?" in 2nd interview
HES/Crestwood	0
North Alabama Med Ctr	0
Southeast Health	Tell me about yourself, Why IM?, One strength?, Should I take you for this program?, Why this program?
Thomas Hospital	0
U of Alabama Huntsville	0
U Alabama Birmingham (UAB)	0
U Alabama Montgomery	Tell me about your typical workday, one weakness and one strength, Why montgomery, any questions? PD just asked what questions you have for me thats it
U South Alabama (USA)	0
U Washington Alaska Rural	0
Abrazo Health	0
Creighton U Phoenix	0
Dignity Health East Valley	0
HonorHealth	why us, what questions do you have, career goals, describe a time you struggled in med school and what you did
Mayo AZ	Tell me about yourself, why Mayo AZ, biggest weakness, tell me about a time you were disappointed with yourself, if we gave you an unlimited budget, what research project would you start (this one was the most out of left field), tell me about a formative experience that influenced you
Midwestern U Canyon Vista	0
Midwestern U Mountain Vista	0
Midwestern U Verde Valley	0
Health Education Services/Northwest Healthcare (Tucson) Program NEW	0
U Arizona Phoenix	0
U Arizona Tucson	0
Tucson Hospitals	tell me about a time you had an angry or frustrated patient and how you handled it, why tucson/anything you're looking forward to if you come here location-wise, tell me about a time you struggled in medical school and how you handled it
Arkansas COM Mercy	0
Baptist Health UAMS	0
Baptist Jonesboro	0
CHI St. Vincent	0
Conway	0
St. Bernards Med Ctr	tell me about yourself ; how would your friends describe you ; what is one thing your family finds irritating about you ; talk to me about your research ; future goals ; what do you do in your free time ; one takeaway from your rotations ; a memorable patient case
Unity White County	0
UAMS	0
UAMS Northwest (Fayetteville)	0
White River	A lot of behavioural questions
Adventist Health White Memorial	0
Alameda Highland	What are some important social determinants of health that affect our population (???), What do you think is an important barrier to health equity in this area.
Arrowhead	0
California Pacific	0
Cedars-Sinai	0
Charles R. Drew U	0
College Med Ctr	0
Community Memorial	Tll m abt yurself, tll m abt a tme yu rceived crticism / cstructive fedbck drng a rtation, what spcialty are yu nterested in, tech them smething, why IM, a tme when yur mdcial team showed yu cmpassion, smething yu bring t the program
Desert Valley	0
Eisenhower	0
HCA Riverside	0
HCA Los Robles	0
Harbor UCLA	Tell me about yourself, tell me about a time you received criticism / constructive feedback during a rotation, what specialty are you interested in, tell me about a time you faced a conflict
Huntington Memorial	0
Kaiser Inland Empire	0
Kaiser Los Angeles	0
Kaiser Oakland	0
Kaiser San Francisco	0
Kaiser Santa Clara	0
Kern	0
KPC Health	0
Loma Linda U	0
Loma Linda U Murrieta	0
Martin Luther King Jr.	0
Naval Med Ctr (San Diego)	0
North East Medical Services	0
Olive View UCLA	What's something unique about you that you bring to the program, talk about a significant mentor or teacher you've had.
Prime West/Centinela	0
Prime West Consortium NEW	0
Prime West/West Anaheim	0
Riverside U Health System	anyone?
San Joaquin	0
San Ysidro	0
Santa Barbara Cottage	0
Santa Clara Valley	tell me about yourself, how have you worked with underserved population and what did you learn from that (to add, I also had some application specific questions!)
Scripps Green	0
Scripps Mercy	0
Sierra View	Can you speak Spanish? << this is America, speak English
St. Agnes Fresno	0
St. Joseph's Med Ctr	0
St. Mary Med Ctr (LB)	0
St. Mary's Hospital and Med Ctr (SF)	0
Stanford	tell me about x project, how do we fit in with your goals/ideas of residency
Sutter	0
UC Davis	0
UC Irvine	why IM, why UCI, challenge u foresee to have during residency
UCLA	Name a time you had a conflict with a team member, what's your proudest moment, where do you see yourself in 10 years
UC San Diego (UCSD)	conflict you had with a team member
UCSF	challenge u oversee to have during residency, how does our mision of diversity, equity, inclusion resonate with you, conflict with a team member
UCSF Fresno	1) Tell me about a time you had a conflict, and how it was resolved. 2) IF you were in my office for feedback in 3 weeks what feedback would I give you.
UC Riverside/St. Bernardine	0
UHS So Cal	0
USC	Tell me about yourself, where do you see yourself in 10 years, what do you consider as essential for your ideal residency program; any misperceptions of you
HCA HealthONE	Mostly asking them questions. Tell me about yourself, leadership experience, resume questions +1
Parkview	0
Saint Joseph	What would you bring to our program, What are your strengths, What qualities make a great IM doc, What do you do for wellness, What motivates you/gets you up in the morning
U Colorado	0
