Brookwood Baptist	Yes, non-icu no post call	Traditional (1/2 day per week)	Majority BIDMC, some VA (mixed with BU, Brigham), occasional option for community, also has rotation at DFCI with Brigham >>Wrong cell??? This should be the comment for BIDMC	CERNER	0	0	0	xf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
East Alabama Med Ctr	0	traditional no continuity clinic on wards.	0	CERNER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES/Crestwood	0	4 + 1	0	CERNER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
North Alabama Med Ctr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Southeast Health	no	modified 3 +1 currently. transitioning to 4+1.	0	EPIC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thomas Hospital	no	traditional	0	EPIC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U of Alabama Huntsville	0	0	0	CERNER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U Alabama Birmingham (UAB)	0	4+4 (PGY 2+3s)  8+4 for interns; Interns no longer have clinic on ward months (changed this year)	2 - main hospital and VA	CERNER	0	0	0	NP team in CCU and ICU, rounding is separate	0	0	10	Long/short call  q5 for wards  q4 for ICU	Call days:~6AM - 8PM  Non-call days: leave whenever you are done, usually after afternoon rounds (4-5 PM)	Yes	0	Y	c	M-F: Morning report (seperate inpatient and ambulatory morning report) and noon conference (M/Tues/Fri are normal noon conference, Wed is grand rounds, Thurs is special track meetings; lunch provided during all noon conferences)	0	21 days include 1 wk for xmas or nye	No but they are building a new GME lounge that will have a gym	Lunch provided on Mon/Tues/Fri at conference. Often lunch provided on Thurs at special track meeting. 70% discount in the hospital cafeteria. No stipend at VA but right across the street so can get lunch at UAB. Chick-fil-a, panera, and subway in hospital. Several restauramts walking distance from hospital	<- does this mean 2 weeks vacation + a holiday week? If so, that sucks.	0
U Alabama Montgomery	0	0	0	CERNER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U South Alabama (USA)	no	4+2	USA Health, stanford road clinic	CERNER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U Washington Alaska Rural	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
