Big 4	Definitely Top ~10	Top ~20	Top ~30	Upper mid (top 40)	Middle (Top 65)	Lower mid	Lower
1062140C0	1529140C0	1492140C1	1716140C0	1552140C0	1801700C0	1722140C0	1516140C0
1265140C0	1628140C0	2247140C0	2978140C0	1007140C0	1252140C0	1793140C0	1426140C0
1261140C0	1495140C0	2835140C0	1490140C0	1033140C0	1646140C0	3054140C0	2980140C0
1242140C0	1353140C0	1956140C0	1652140C1	1599140C0	1334140C0	1844140C0	2070140C1
	1293140C0	1702140C0	1900140C0	1677140C0	1743140C0	1217140C0	1527140C0
	1328140C0	1160140C0	1049140C0	1779140C0	1537140C0	3099140C0	1372140C0
		1820140C0	1076140C0	1257140C0	1150705C0	1109140C0	1725140C0
		1918140C0	1113140C0	1203140C0	1548140C0	1848140C0	1167140C0
		1256140C0	1737140C0	1566140C0	1732140C0	1300140C0	1707140C0
		1089140C0	1968140C0	1147140C0	2923140C0	1365140C0	1978140C0
			3200140C0		1187140C0	1094140C0	1586140C0
			1032140C0		3153140C0	1802140C0	1959140C0
					1680140C0	1784140C0	1295140C0
					1511140C0	1315140C0	1455140C0
					1046140C0	1024140C0	1236140C0
					2918140C0	1343140C0	1470140C0
					1043140C0	1962140C0	2157140C0
					1104140C0	3050140C0	1414140C0
					1824140C0	1237140C0	1340140C0
					1030140C0	1985140C0	1648140C0
					1170140C0	1011140C0	1608140C0
					1263140C0	1015140C0	2252140C0
					3073140C0	1398140C0	1839140C0
					1377140C0	1700140C0	1689140C0
					1376140C0	1553140C0	1221140C0
					1630140C0	2919140C0	1232140C0
						1617140C0	1683140C0
						1734140C0	1681140C0
						2950140C0	3057140C0
						1067140C0	2028140C0
						1957140C0	1224140C0
						1582140C0	1748140C0
						3350140C0	1588140C0
							1632140C0
							1714140C0
